//////////////////////////////////////////////////////////////////////
//************************* Format *********************************//
//****** Input Value ; Input Unit; Output Value; Output Unit *******//
//--------------------------------------------------------------------
// See UnitDef.dat file for a list of output units
//////////////////////////////////////////////////////////////////////

// 1 meter = 3.2808398950131234 feet. full calculated value = 3.2808398950131233595800524934383

1234 ; Feet ; 18.69697 ; Chains
10 ; Meters ; 10.936132983377078 ; Yards
100 ; Centimeters ; 1 ; Meters
5.32 ; Kilometers ; 532000 ; Centimeters
5.2147 ; Miles ; 8392.2461568 ; Meters
1 ; Miles ; 5280 ; Feet
1 ; Feet ; 0.0001893939393939 ; Miles
4 ; Rods ; 1 ; Chains
1 ; Rods ; 16.5 ; Feet
1 ; Links ; 7.92 ; Inches
50 ; Links ; 2 ; Rods
5.5 ; Chains ; 550 ; Links
66 ; Feet ; 1 ; Chains
27.896652 ; Feet ; 8.5028995296 ; Meters
18.4483; Kilometers ; 60525.91863517060442022 ; Feet
48.66; Centimeters ; 2.4188737771414936575757575757576 ; Links
9512.654; Meters ; 472.87113258569952065914545454545 ; Chains
20654; Links ; 2.58175 ; Miles
6540.48565; Rods ; 3289341.043098 ; Centimeters
32.4655214; Chains ; 25712.6929488 ; Inches
953.4646; Yards ; 871.84803024 ; Meters
22.7562; Miles ; 7281.984 ; Rods
6512.75465; Inches ; 180.90985138888888888888888888889 ; Yards
889.546; Feet ; 0.2711336208 ; Kilometers
6512.4865 ; Feet ; 1.9850058852 ; Kilometers
88.46523 ; Miles ; 5605156.9728 ; Inches
652.498543 ; Chains ; 65249.8543 ; Links
22.5454652 ; Links ; 4.960002344 ; Yards
899686545686342.6548881658 ; Centimeters ; 5590393015.3301137288744096973674 ; Miles
3265486.968742165 ; Inches ; 82943.369006050991 ; Meters
19.65423987 ; Yards ; 1797.1836937128 ; Centimeters
6523.564268 ; Rods ; 107638.810422 ; Feet
652.49898 ; Meters ; 32.435525530899546647578143641136 ; Chains
6852.6852 ; Kilometers ; 1362579.5752803626819374850870914 ;  Rods

// Inches 0.3937007874015748 = 1 CM
